Date,Close,Volume,Open,High,Low,Year,Month,Quarter,DayOfWeek
2025-03-06,0.9757471161760349,3408614285.660695,0.9757471161760349,0.9757471161760349,0.9757471161760349,2025,3,1,3
2025-03-07,0.9073460390884619,2330044713.952941,0.9073460390884619,0.9073460390884619,0.9073460390884619,2025,3,1,4
2025-03-08,0.8172312446982826,3167511497.123035,0.8172312446982826,0.8172312446982826,0.8172312446982826,2025,3,1,5
2025-03-09,0.804467726740253,1059663491.0446923,0.804467726740253,0.804467726740253,0.804467726740253,2025,3,1,6
2025-03-10,0.721388146040346,1470024544.8182783,0.721388146040346,0.721388146040346,0.721388146040346,2025,3,1,0
2025-03-11,0.6750987117510554,1891276771.2102654,0.6750987117510554,0.6750987117510554,0.6750987117510554,2025,3,1,1
2025-03-12,0.7229736562075002,1748603194.8700173,0.7229736562075002,0.7229736562075002,0.7229736562075002,2025,3,1,2
2025-03-13,0.736666917455641,1252379796.262997,0.736666917455641,0.736666917455641,0.736666917455641,2025,3,1,3
2025-03-14,0.7017276884338084,1127266267.0440097,0.7017276884338084,0.7017276884338084,0.7017276884338084,2025,3,1,4
2025-03-15,0.7386527093718266,1018976977.5613898,0.7386527093718266,0.7386527093718266,0.7386527093718266,2025,3,1,5
2025-03-16,0.7477933206994789,662909255.5064604,0.7477933206994789,0.7477933206994789,0.7477933206994789,2025,3,1,6
2025-03-17,0.7063226566895222,751357270.2720457,0.7063226566895222,0.7063226566895222,0.7063226566895222,2025,3,1,0
2025-03-18,0.7182475371685878,712181990.225473,0.7182475371685878,0.7182475371685878,0.7182475371685878,2025,3,1,1
2025-03-19,0.7028326612501901,668445029.95217,0.7028326612501901,0.7028326612501901,0.7028326612501901,2025,3,1,2
2025-03-20,0.7454676924079612,1064981080.1987456,0.7454676924079612,0.7454676924079612,0.7454676924079612,2025,3,1,3
2025-03-21,0.7177817989305744,892747061.1771692,0.7177817989305744,0.7177817989305744,0.7177817989305744,2025,3,1,4
2025-03-22,0.7042253265879588,611407466.4808869,0.7042253265879588,0.7042253265879588,0.7042253265879588,2025,3,1,5
2025-03-23,0.7004888130724237,431734884.85975003,0.7004888130724237,0.7004888130724237,0.7004888130724237,2025,3,1,6
2025-03-24,0.708589878997602,559800879.933612,0.708589878997602,0.708589878997602,0.708589878997602,2025,3,1,0
2025-03-25,0.7299608913945431,911524424.8464735,0.7299608913945431,0.7299608913945431,0.7299608913945431,2025,3,1,1
2025-03-26,0.7456209405094492,1057345092.4490489,0.7456209405094492,0.7456209405094492,0.7456209405094492,2025,3,1,2
2025-03-27,0.7280096173884845,908223545.0922289,0.7280096173884845,0.7280096173884845,0.7280096173884845,2025,3,1,3
2025-03-28,0.7381307766619702,561347037.4894052,0.7381307766619702,0.7381307766619702,0.7381307766619702,2025,3,1,4
2025-03-29,0.7054500054704209,774769179.0151162,0.7054500054704209,0.7054500054704209,0.7054500054704209,2025,3,1,5
2025-03-30,0.6740559356529756,621436559.1898086,0.6740559356529756,0.6740559356529756,0.6740559356529756,2025,3,1,6
2025-03-31,0.6601152181346328,478487682.2075428,0.6601152181346328,0.6601152181346328,0.6601152181346328,2025,3,1,0
2025-04-01,0.6611376773087757,739596439.8428652,0.6611376773087757,0.6611376773087757,0.6611376773087757,2025,4,2,1
2025-04-02,0.6782918986781525,685084959.2043678,0.6782918986781525,0.6782918986781525,0.6782918986781525,2025,4,2,2
2025-04-03,0.6416810199741727,907260521.324572,0.6416810199741727,0.6416810199741727,0.6416810199741727,2025,4,2,3
2025-04-04,0.650635234098672,850771125.3544065,0.650635234098672,0.650635234098672,0.650635234098672,2025,4,2,4
2025-04-05,0.6605590488885138,858616116.5915514,0.6605590488885138,0.6605590488885138,0.6605590488885138,2025,4,2,5
2025-04-06,0.6562187375321188,384994433.078377,0.6562187375321188,0.6562187375321188,0.6562187375321188,2025,4,2,6
2025-04-07,0.573016902460604,948643369.166113,0.573016902460604,0.573016902460604,0.573016902460604,2025,4,2,0
2025-04-08,0.5846653688337909,1902830957.1750555,0.5846653688337909,0.5846653688337909,0.5846653688337909,2025,4,2,1
2025-04-09,0.5576109268777084,1236707673.7302747,0.5576109268777084,0.5576109268777084,0.5576109268777084,2025,4,2,2
2025-04-10,0.6320092192400434,1601016157.2231832,0.6320092192400434,0.6320092192400434,0.6320092192400434,2025,4,2,3
2025-04-11,0.6099453101466736,890738740.5438374,0.6099453101466736,0.6099453101466736,0.6099453101466736,2025,4,2,4
2025-04-12,0.624013663949495,823024435.6207166,0.624013663949495,0.624013663949495,0.624013663949495,2025,4,2,5
2025-04-13,0.658135992436163,658708096.7725409,0.658135992436163,0.658135992436163,0.658135992436163,2025,4,2,6
2025-04-14,0.6370042586934123,644314435.2323939,0.6370042586934123,0.6370042586934123,0.6370042586934123,2025,4,2,0
