Date,Close,Volume,Open,High,Low,Year,Month,Quarter,DayOfWeek
2025-03-06,146.1815871653316,5058439503.511892,146.1815871653316,146.1815871653316,146.1815871653316,2025,3,1,3
2025-03-07,143.45134750836067,4945954333.278534,143.45134750836067,143.45134750836067,143.45134750836067,2025,3,1,4
2025-03-08,139.1826626278542,7016301953.403862,139.1826626278542,139.1826626278542,139.1826626278542,2025,3,1,5
2025-03-09,136.88210638232243,2514068553.482356,136.88210638232243,136.88210638232243,136.88210638232243,2025,3,1,6
2025-03-10,126.63426805755283,3801194130.62927,126.63426805755283,126.63426805755283,126.63426805755283,2025,3,1,0
2025-03-11,118.78644366084116,5864031854.074184,118.78644366084116,118.78644366084116,118.78644366084116,2025,3,1,1
2025-03-12,125.4287680235315,6029007255.049647,125.4287680235315,125.4287680235315,125.4287680235315,2025,3,1,2
2025-03-13,126.56536487567297,4689543463.448166,126.56536487567297,126.56536487567297,126.56536487567297,2025,3,1,3
2025-03-14,123.23770752728635,3271148359.248695,123.23770752728635,123.23770752728635,123.23770752728635,2025,3,1,4
2025-03-15,133.5545345544276,3701658672.5857406,133.5545345544276,133.5545345544276,133.5545345544276,2025,3,1,5
2025-03-16,135.83808085318316,2173510694.828497,135.83808085318316,135.83808085318316,135.83808085318316,2025,3,1,6
2025-03-17,126.16514527624146,2798721596.9139237,126.16514527624146,126.16514527624146,126.16514527624146,2025,3,1,0
2025-03-18,128.27980954134415,2835104845.2985606,128.27980954134415,128.27980954134415,128.27980954134415,2025,3,1,1
2025-03-19,125.34406014353017,2936759432.6961746,125.34406014353017,125.34406014353017,125.34406014353017,2025,3,1,2
2025-03-20,135.62276169425357,4227937432.462337,135.62276169425357,135.62276169425357,135.62276169425357,2025,3,1,3
2025-03-21,127.67626424914864,2856454079.9876003,127.67626424914864,127.67626424914864,127.67626424914864,2025,3,1,4
2025-03-22,128.23973822410704,2682481813.177558,128.23973822410704,128.23973822410704,128.23973822410704,2025,3,1,5
2025-03-23,128.39187391771924,1633225353.201732,128.39187391771924,128.39187391771924,128.39187391771924,2025,3,1,6
2025-03-24,132.10106868785385,1946961909.8583128,132.10106868785385,132.10106868785385,132.10106868785385,2025,3,1,0
2025-03-25,140.57936877383233,4982998048.548014,140.57936877383233,140.57936877383233,140.57936877383233,2025,3,1,1
2025-03-26,143.93305133739045,4141256445.109851,143.93305133739045,143.93305133739045,143.93305133739045,2025,3,1,2
2025-03-27,137.09334253160864,3544853266.965955,137.09334253160864,137.09334253160864,137.09334253160864,2025,3,1,3
2025-03-28,138.37897933357002,3091328527.031395,138.37897933357002,138.37897933357002,138.37897933357002,2025,3,1,4
2025-03-29,129.44621681849003,3970975243.7690816,129.44621681849003,129.44621681849003,129.44621681849003,2025,3,1,5
2025-03-30,124.50189658068513,2655617262.6764107,124.50189658068513,124.50189658068513,124.50189658068513,2025,3,1,6
2025-03-31,124.5806499329744,1878569311.0322552,124.5806499329744,124.5806499329744,124.5806499329744,2025,3,1,0
2025-04-01,124.86617842858315,3728330337.9255114,124.86617842858315,124.86617842858315,124.86617842858315,2025,4,2,1
2025-04-02,126.80693682115113,3477738068.3977413,126.80693682115113,126.80693682115113,126.80693682115113,2025,4,2,2
2025-04-03,118.08550586157003,6220758262.820647,118.08550586157003,118.08550586157003,118.08550586157003,2025,4,2,3
2025-04-04,117.1929518844708,5474729959.575941,117.1929518844708,117.1929518844708,117.1929518844708,2025,4,2,4
2025-04-05,122.71307466195722,6141157658.850645,122.71307466195722,122.71307466195722,122.71307466195722,2025,4,2,5
2025-04-06,120.16838205477265,1955824996.8725355,120.16838205477265,120.16838205477265,120.16838205477265,2025,4,2,6
2025-04-07,105.76515013740064,4396294752.456149,105.76515013740064,105.76515013740064,105.76515013740064,2025,4,2,0
2025-04-08,106.7967654056102,9917012343.481733,106.7967654056102,106.7967654056102,106.7967654056102,2025,4,2,1
2025-04-09,105.48654682895575,6176838846.398615,105.48654682895575,105.48654682895575,105.48654682895575,2025,4,2,2
2025-04-10,118.96288063114291,8239588242.375064,118.96288063114291,118.96288063114291,118.96288063114291,2025,4,2,3
2025-04-11,112.88616853404648,4925583853.038068,112.88616853404648,112.88616853404648,112.88616853404648,2025,4,2,4
